Date : 2025-01-25 15:21:19
Directory : /home/amir/Project/ntsw_demo
Total : 288 files,  67629 codes, 2402 comments, 8481 blanks, all 78512 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.nl-BE.min.js                       | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.nl.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.no.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.oc.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.pl.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.pt-BR.min.js                       | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.pt.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.ro.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.rs-latin.min.js                    | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.rs.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.ru.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.si.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.sk.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.sl.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.sq.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.sr-latin.min.js                    | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.sr.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.sv.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.sw.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.ta.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.tg.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.th.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.tk.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.tr.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.uk.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.uz-cyrl.min.js                     | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.uz-latn.min.js                     | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.vi.min.js                          | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.zh-CN.min.js                       | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/bootstrap-datepicker/locales/bootstrap-datepicker.zh-TW.min.js                       | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/css/dashboard-style.css                                                              | CSS         |         12 |          0 |          2 |         14 |
| /home/amir/Project/ntsw_demo/statics/css/sidebars.css                                                                     | CSS         |         59 |          0 |         13 |         72 |
| /home/amir/Project/ntsw_demo/statics/css/style.css                                                                        | CSS         |         10 |          0 |          2 |         12 |
| /home/amir/Project/ntsw_demo/statics/js/dashboard-main.js                                                                 | JavaScript  |         31 |          1 |          4 |         36 |
| /home/amir/Project/ntsw_demo/statics/js/jquery.min.js                                                                     | JavaScript  |          1 |          1 |          1 |          3 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/.bower.json                                        | JSON        |         36 |          0 |          0 |         36 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/bower.json                                         | JSON        |         23 |          0 |          1 |         24 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/css/font-awesome.css                               | CSS         |      1,792 |          9 |          1 |      1,802 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/css/font-awesome.min.css                           | CSS         |          1 |          3 |          0 |          4 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/fonts/fontawesome-webfont.svg                      | XML         |        565 |          0 |          0 |        565 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/less/animated.less                                 | Less        |         28 |          2 |          5 |         35 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/less/bordered-pulled.less                          | Less        |         11 |          2 |          4 |         17 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/less/core.less                                     | Less        |          9 |          2 |          3 |         14 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/less/fixed-width.less                              | Less        |          4 |          2 |          1 |          7 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/less/font-awesome.less                             | Less        |         12 |          4 |          2 |         18 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/less/icons.less                                    | Less        |        593 |          2 |          2 |        597 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/less/larger.less                                   | Less        |          9 |          3 |          2 |         14 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/less/list.less                                     | Less        |         16 |          2 |          2 |         20 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/less/mixins.less                                   | Less        |         21 |          2 |          5 |         28 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/less/path.less                                     | Less        |         11 |          3 |          2 |         16 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/less/rotated-flipped.less                          | Less        |         12 |          4 |          5 |         21 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/less/stacked.less                                  | Less        |         17 |          2 |          2 |         21 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/less/variables.less                                | Less        |        600 |          3 |          4 |        607 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/scss/_animated.scss                                | SCSS        |         28 |          2 |          5 |         35 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/scss/_bordered-pulled.scss                         | SCSS        |         11 |          2 |          4 |         17 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/scss/_core.scss                                    | SCSS        |          9 |          2 |          3 |         14 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/scss/_fixed-width.scss                             | SCSS        |          4 |          2 |          1 |          7 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/scss/_icons.scss                                   | SCSS        |        593 |          2 |          2 |        597 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/scss/_larger.scss                                  | SCSS        |          9 |          3 |          2 |         14 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/scss/_list.scss                                    | SCSS        |         16 |          2 |          2 |         20 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/scss/_mixins.scss                                  | SCSS        |         21 |          2 |          5 |         28 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/scss/_path.scss                                    | SCSS        |         11 |          3 |          2 |         16 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/scss/_rotated-flipped.scss                         | SCSS        |         12 |          4 |          5 |         21 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/scss/_stacked.scss                                 | SCSS        |         17 |          2 |          2 |         21 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/scss/_variables.scss                               | SCSS        |        600 |          3 |          4 |        607 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/fontawesome/scss/font-awesome.scss                             | SCSS        |         12 |          4 |          2 |         18 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/normalize.css                                                  | CSS         |        180 |        162 |         86 |        428 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/persianDatepicker-dark.css                                     | CSS         |        175 |          1 |         25 |        201 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/persianDatepicker-default.css                                  | CSS         |        174 |          1 |         23 |        198 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/persianDatepicker-latoja.css                                   | CSS         |        191 |          1 |         25 |        217 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/persianDatepicker-lightorang.css                               | CSS         |        177 |          1 |         24 |        202 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/persianDatepicker-melon.css                                    | CSS         |        174 |          1 |         24 |        199 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/prism.css                                                      | CSS         |         94 |          8 |         20 |        122 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/style.css                                                      | CSS         |         65 |          6 |         23 |         94 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/css/vertical-responsive-menu.min.css                               | CSS         |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/js/ajaxmin.bat                                                     | Batch       |         28 |         14 |         11 |         53 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/js/angular.min.js                                                  | JavaScript  |        244 |          6 |          1 |        251 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/js/jquery-1.10.1.min.js                                            | JavaScript  |          3 |          3 |          1 |          7 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/js/persianDatepicker.js                                            | JavaScript  |        680 |         40 |         48 |        768 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/js/persianDatepicker.min.js                                        | JavaScript  |          1 |         15 |          1 |         17 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/js/prism.js                                                        | JavaScript  |          5 |          1 |          1 |          7 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/js/prism.min.js                                                    | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/persianDatepicker/js/vertical-responsive-menu.min.js                                 | JavaScript  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/statics/select-box-search-option/css/common.css                                              | CSS         |          2 |          0 |          1 |          3 |
| /home/amir/Project/ntsw_demo/statics/select-box-search-option/js/jquery-searchbox.js                                      | JavaScript  |        119 |         23 |         27 |        169 |
| /home/amir/Project/ntsw_demo/statics/selectize-master/css/selectize.bootstrap2.css                                        | CSS         |          1 |         19 |          0 |         20 |
| /home/amir/Project/ntsw_demo/statics/selectize-master/css/selectize.bootstrap3.css                                        | CSS         |          1 |         19 |          0 |         20 |
| /home/amir/Project/ntsw_demo/statics/selectize-master/css/selectize.bootstrap4.css                                        | CSS         |          1 |         19 |          0 |         20 |
| /home/amir/Project/ntsw_demo/statics/selectize-master/css/selectize.bootstrap5.css                                        | CSS         |        584 |         46 |        118 |        748 |
| /home/amir/Project/ntsw_demo/statics/selectize-master/css/selectize.css                                                   | CSS         |          1 |         19 |          0 |         20 |
| /home/amir/Project/ntsw_demo/statics/selectize-master/css/selectize.default.css                                           | CSS         |          1 |         19 |          0 |         20 |
| /home/amir/Project/ntsw_demo/statics/selectize-master/js/selectize.js                                                     | JavaScript  |      2,935 |         19 |        536 |      3,490 |
| /home/amir/Project/ntsw_demo/statics/selectize-master/js/selectize.min.js                                                 | JavaScript  |         13 |         19 |          1 |         33 |
| /home/amir/Project/ntsw_demo/statics/sidebars.js                                                                          | JavaScript  |          7 |          1 |          1 |          9 |
| /home/amir/Project/ntsw_demo/templates/base.html                                                                          | Django HTML |         85 |          0 |          1 |         86 |
| /home/amir/Project/ntsw_demo/templates/partials/base_role_sidebar.html                                                    | Django HTML |         97 |          0 |          1 |         98 |
| /home/amir/Project/ntsw_demo/templates/partials/business_sidebar.html                                                     | Django HTML |         84 |          0 |          1 |         85 |
| /home/amir/Project/ntsw_demo/templates/partials/header.html                                                               | Django HTML |         56 |          0 |          1 |         57 |
| /home/amir/Project/ntsw_demo/templates/partials/internal_trader_sidebar.html                                              | Django HTML |          4 |          0 |          1 |          5 |
| /home/amir/Project/ntsw_demo/templates/partials/page_header.html                                                          | Django HTML |         13 |          0 |          1 |         14 |
| /home/amir/Project/ntsw_demo/templates/partials/sidebar.html                                                              | Django HTML |          9 |          0 |          1 |         10 |
| /home/amir/Project/ntsw_demo/upload_qualifications/__init__.py                                                            | Python      |          0 |          0 |          1 |          1 |
| /home/amir/Project/ntsw_demo/upload_qualifications/admin.py                                                               | Python      |          1 |          1 |          2 |          4 |
| /home/amir/Project/ntsw_demo/upload_qualifications/apps.py                                                                | Python      |          4 |          0 |          3 |          7 |
| /home/amir/Project/ntsw_demo/upload_qualifications/migrations/0001_initial.py                                             | Python      |         26 |          1 |          7 |         34 |
| /home/amir/Project/ntsw_demo/upload_qualifications/migrations/0002_alter_businesscard_created_at.py                       | Python      |         12 |          1 |          6 |         19 |
| /home/amir/Project/ntsw_demo/upload_qualifications/migrations/__init__.py                                                 | Python      |          0 |          0 |          1 |          1 |
| /home/amir/Project/ntsw_demo/upload_qualifications/models.py                                                              | Python      |         23 |          0 |          7 |         30 |
| /home/amir/Project/ntsw_demo/upload_qualifications/templates/upload_qualifications/business_card_list.html                | Django HTML |        280 |          0 |          1 |        281 |
| /home/amir/Project/ntsw_demo/upload_qualifications/tests.py                                                               | Python      |          1 |          1 |          2 |          4 |
| /home/amir/Project/ntsw_demo/upload_qualifications/urls.py                                                                | Python      |         10 |          0 |          6 |         16 |
| /home/amir/Project/ntsw_demo/upload_qualifications/views.py                                                               | Python      |         36 |          0 |         13 |         49 |
| /home/amir/Project/ntsw_demo/users/__init__.py                                                                            | Python      |          0 |          0 |          1 |          1 |
| /home/amir/Project/ntsw_demo/users/admin.py                                                                               | Python      |         22 |          0 |          5 |         27 |
| /home/amir/Project/ntsw_demo/users/apps.py                                                                                | Python      |          4 |          0 |          3 |          7 |
| /home/amir/Project/ntsw_demo/users/forms.py                                                                               | Python      |         49 |          0 |         11 |         60 |
| /home/amir/Project/ntsw_demo/users/migrations/0001_initial.py                                                             | Python      |         45 |          1 |          7 |         53 |
| /home/amir/Project/ntsw_demo/users/migrations/0002_customuser_uuid_verificationcode.py                                    | Python      |         31 |          1 |          6 |         38 |
| /home/amir/Project/ntsw_demo/users/migrations/0003_customuser_mobile_verified.py                                          | Python      |         12 |          1 |          6 |         19 |
| /home/amir/Project/ntsw_demo/users/migrations/0004_remove_customuser_mobile_verified.py                                   | Python      |         11 |          1 |          6 |         18 |
| /home/amir/Project/ntsw_demo/users/migrations/0005_role_userrole.py                                                       | Python      |         26 |          1 |          6 |         33 |
| /home/amir/Project/ntsw_demo/users/migrations/0006_alter_role_options_alter_userrole_options.py                           | Python      |         15 |          1 |          6 |         22 |
| /home/amir/Project/ntsw_demo/users/migrations/0007_remove_userrole_role_remove_userrole_user_and_more.py                  | Python      |         36 |          1 |          6 |         43 |
| /home/amir/Project/ntsw_demo/users/migrations/0008_alter_customuser_base_and_more.py                                      | Python      |         22 |          1 |          6 |         29 |
| /home/amir/Project/ntsw_demo/users/migrations/0009_customuser_active_role.py                                              | Python      |         12 |          1 |          6 |         19 |
| /home/amir/Project/ntsw_demo/users/migrations/__init__.py                                                                 | Python      |          0 |          0 |          1 |          1 |
| /home/amir/Project/ntsw_demo/users/models.py                                                                              | Python      |         77 |          0 |         12 |         89 |
| /home/amir/Project/ntsw_demo/users/templates/users/base.html                                                              | Django HTML |         58 |          0 |          1 |         59 |
| /home/amir/Project/ntsw_demo/users/templates/users/login.html                                                             | Django HTML |         85 |          0 |          1 |         86 |
| /home/amir/Project/ntsw_demo/users/templates/users/register.html                                                          | Django HTML |        133 |          0 |          7 |        140 |
| /home/amir/Project/ntsw_demo/users/templates/users/reset_password.html                                                    | Django HTML |         34 |          0 |          1 |         35 |
| /home/amir/Project/ntsw_demo/users/templates/users/select_verification_mod.html                                           | Django HTML |         17 |          0 |          1 |         18 |
| /home/amir/Project/ntsw_demo/users/templates/users/send_reset_code.html                                                   | Django HTML |         27 |          0 |          1 |         28 |
| /home/amir/Project/ntsw_demo/users/templates/users/sms.txt                                                                | Django txt  |          1 |          0 |          0 |          1 |
| /home/amir/Project/ntsw_demo/users/templates/users/verify_phone.html                                                      | Django HTML |         64 |          0 |          4 |         68 |
| /home/amir/Project/ntsw_demo/users/tests.py                                                                               | Python      |          1 |          1 |          2 |          4 |
| /home/amir/Project/ntsw_demo/users/urls.py                                                                                | Python      |         19 |         24 |         10 |         53 |
| /home/amir/Project/ntsw_demo/users/views.py                                                                               | Python      |        103 |          9 |         29 |        141 |
| Total                                                                                                                     |             |     67,629 |      2,402 |      8,481 |     78,512 |
+---------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
